Completed 222 games, 290 rewards, 64038 frames, score 1, max score 4
Completed 223 games, 291 rewards, 64219 frames, score 0, max score 4
Completed 224 games, 292 rewards, 64427 frames, score 0, max score 4
Completed 225 games, 293 rewards, 64608 frames, score 0, max score 4
Completed 226 games, 294 rewards, 64789 frames, score 0, max score 4
Completed 227 games, 295 rewards, 64970 frames, score 0, max score 4
Completed 228 games, 296 rewards, 65178 frames, score 0, max score 4
Completed 229 games, 297 rewards, 65386 frames, score 0, max score 4
Completed 230 games, 298 rewards, 65567 frames, score 0, max score 4
Completed 231 games, 302 rewards, 66415 frames, score 3, max score 4
Completed 232 games, 303 rewards, 66596 frames, score 0, max score 4
Completed 233 games, 304 rewards, 66777 frames, score 0, max score 4
Completed 234 games, 305 rewards, 66985 frames, score 0, max score 4
Completed 235 games, 306 rewards, 67193 frames, score 0, max score 4
Completed 236 games, 307 rewards, 67374 frames, score 0, max score 4
Completed 237 games, 308 rewards, 67582 frames, score 0, max score 4
Completed 238 games, 309 rewards, 67790 frames, score 0, max score 4
Completed 239 games, 310 rewards, 67998 frames, score 0, max score 4
Completed 240 games, 311 rewards, 68206 frames, score 0, max score 4
Completed 241 games, 312 rewards, 68387 frames, score 0, max score 4
Completed 242 games, 313 rewards, 68641 frames, score 0, max score 4
Completed 243 games, 314 rewards, 68822 frames, score 0, max score 4
Completed 244 games, 315 rewards, 69076 frames, score 0, max score 4
Completed 245 games, 316 rewards, 69257 frames, score 0, max score 4
Completed 246 games, 317 rewards, 69511 frames, score 0, max score 4
Completed 247 games, 318 rewards, 69765 frames, score 0, max score 4
Completed 248 games, 319 rewards, 69973 frames, score 0, max score 4
Completed 249 games, 321 rewards, 70524 frames, score 1, max score 4
Completed 250 games, 322 rewards, 70778 frames, score 0, max score 4
Completed 251 games, 323 rewards, 71032 frames, score 0, max score 4
Completed 252 games, 324 rewards, 71240 frames, score 0, max score 4
Completed 253 games, 325 rewards, 71494 frames, score 0, max score 4
Completed 254 games, 326 rewards, 71675 frames, score 0, max score 4
Completed 255 games, 329 rewards, 72166 frames, score 2, max score 4
Completed 256 games, 331 rewards, 72603 frames, score 1, max score 4
Completed 257 games, 333 rewards, 72944 frames, score 1, max score 4
Completed 258 games, 334 rewards, 73125 frames, score 0, max score 4
Completed 259 games, 335 rewards, 73306 frames, score 0, max score 4
Completed 260 games, 338 rewards, 73917 frames, score 2, max score 4
Completed 261 games, 339 rewards, 74171 frames, score 0, max score 4
Completed 262 games, 341 rewards, 74599 frames, score 1, max score 4
Completed 263 games, 342 rewards, 74853 frames, score 0, max score 4
Completed 264 games, 343 rewards, 75061 frames, score 0, max score 4
Completed 265 games, 344 rewards, 75315 frames, score 0, max score 4
Completed 266 games, 345 rewards, 75523 frames, score 0, max score 4
Completed 267 games, 347 rewards, 76011 frames, score 1, max score 4
Completed 268 games, 348 rewards, 76219 frames, score 0, max score 4
Completed 269 games, 349 rewards, 76400 frames, score 0, max score 4
Completed 270 games, 350 rewards, 76654 frames, score 0, max score 4
Completed 271 games, 351 rewards, 76908 frames, score 0, max score 4
Completed 272 games, 352 rewards, 77116 frames, score 0, max score 4
Completed 273 games, 355 rewards, 77808 frames, score 2, max score 4
Completed 274 games, 358 rewards, 78288 frames, score 2, max score 4
Completed 275 games, 359 rewards, 78469 frames, score 0, max score 4
Completed 276 games, 360 rewards, 78723 frames, score 0, max score 4
Completed 277 games, 361 rewards, 78904 frames, score 0, max score 4
Completed 278 games, 362 rewards, 79085 frames, score 0, max score 4
Completed 279 games, 363 rewards, 79339 frames, score 0, max score 4
Completed 280 games, 364 rewards, 79547 frames, score 0, max score 4
Completed 281 games, 365 rewards, 79728 frames, score 0, max score 4
Completed 282 games, 366 rewards, 79982 frames, score 0, max score 4
Completed 283 games, 367 rewards, 80236 frames, score 0, max score 4
Completed 284 games, 368 rewards, 80417 frames, score 0, max score 4
Completed 285 games, 370 rewards, 80914 frames, score 1, max score 4
Completed 286 games, 372 rewards, 81342 frames, score 1, max score 4
Completed 287 games, 373 rewards, 81596 frames, score 0, max score 4
Completed 288 games, 374 rewards, 81804 frames, score 0, max score 4
Completed 289 games, 375 rewards, 81985 frames, score 0, max score 4
Completed 290 games, 377 rewards, 82396 frames, score 1, max score 4
Completed 291 games, 378 rewards, 82577 frames, score 0, max score 4
Completed 292 games, 379 rewards, 82785 frames, score 0, max score 4
Completed 293 games, 380 rewards, 82966 frames, score 0, max score 4
Completed 294 games, 381 rewards, 83147 frames, score 0, max score 4
Completed 295 games, 382 rewards, 83355 frames, score 0, max score 4
Completed 296 games, 383 rewards, 83609 frames, score 0, max score 4
Completed 297 games, 384 rewards, 83790 frames, score 0, max score 4
Completed 298 games, 386 rewards, 84158 frames, score 1, max score 4
Completed 299 games, 387 rewards, 84339 frames, score 0, max score 4
Completed 300 games, 388 rewards, 84547 frames, score 0, max score 4
Completed 301 games, 390 rewards, 85018 frames, score 1, max score 4
Completed 302 games, 391 rewards, 85199 frames, score 0, max score 4
Completed 303 games, 393 rewards, 85605 frames, score 1, max score 4
Completed 304 games, 394 rewards, 85786 frames, score 0, max score 4
Completed 305 games, 395 rewards, 86040 frames, score 0, max score 4
Completed 306 games, 396 rewards, 86294 frames, score 0, max score 4
Completed 307 games, 397 rewards, 86502 frames, score 0, max score 4
Completed 308 games, 398 rewards, 86683 frames, score 0, max score 4
Completed 309 games, 399 rewards, 86891 frames, score 0, max score 4
